,title,imdb_id,id,release_date,runtime,vote_average,vote_count,popularity,budget,revenue,genres,spoken_languages,original_language,production_companies,production_countries,director
2268,De allergrootste slijmfilm,tt18374194,993807,2022-07-06,81,0.0,0,1.303,0,0,"[{'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}]","[{'english_name': 'Dutch', 'iso_639_1': 'nl', 'name': 'Nederlands'}]",nl,"[{'id': 95066, 'logo_path': None, 'name': 'NewBeTV', 'origin_country': ''}]","[{'iso_3166_1': 'NL', 'name': 'Netherlands'}]",Martijn Smits
2269,The Even Bigger Slime Movie,tt13797922,846536,2021-07-07,81,0.0,0,1.723,0,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]","[{'english_name': 'Dutch', 'iso_639_1': 'nl', 'name': 'Nederlands'}]",en,"[{'id': 95066, 'logo_path': None, 'name': 'NewBeTV', 'origin_country': ''}]","[{'iso_3166_1': 'NL', 'name': 'Netherlands'}]",Martijn Smits
2270,The Human Centipede (First Sequence),tt1467304,37169,2009-10-31,92,5.227,1878,38.113,2011799,252207,"[{'id': 27, 'name': 'Horror'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}, {'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}]",en,"[{'id': 5652, 'logo_path': None, 'name': 'Six Entertainment', 'origin_country': ''}]","[{'iso_3166_1': 'NL', 'name': 'Netherlands'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",Tom Six
2271,The Human Centipede 3 (Final Sequence),tt1883367,94365,2015-05-22,103,3.736,659,21.856,0,16184,"[{'id': 27, 'name': 'Horror'}]","[{'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",en,"[{'id': 5652, 'logo_path': None, 'name': 'Six Entertainment', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",Tom Six
2272,The Human Centipede 2 (Full Sequence),tt1530509,74997,2011-10-06,91,4.788,1147,36.111,0,0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 80, 'name': 'Crime'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",en,"[{'id': 5652, 'logo_path': None, 'name': 'Six Entertainment', 'origin_country': ''}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'NL', 'name': 'Netherlands'}]",Tom Six
2273,Bon Bini Holland,tt4247144,366887,2015-12-10,95,5.5,37,2.17,0,5500000,"[{'id': 35, 'name': 'Comedy'}]","[{'english_name': 'Dutch', 'iso_639_1': 'nl', 'name': 'Nederlands'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",nl,"[{'id': 67254, 'logo_path': '/oV4xUvzWljGW1QVAa8qR2INNyN7.png', 'name': 'Kaap Holland Film', 'origin_country': 'NL'}]","[{'iso_3166_1': 'NL', 'name': 'Netherlands'}]",Jelle de Jonge
2274,Bon Bini Holland 3,tt11177150,800309,2022-06-30,84,5.0,7,1.623,0,0,"[{'id': 35, 'name': 'Comedy'}]","[{'english_name': 'Dutch', 'iso_639_1': 'nl', 'name': 'Nederlands'}]",nl,"[{'id': 67254, 'logo_path': '/oV4xUvzWljGW1QVAa8qR2INNyN7.png', 'name': 'Kaap Holland Film', 'origin_country': 'NL'}]","[{'iso_3166_1': 'NL', 'name': 'Netherlands'}]",Pieter van Rijn
2275,Reunion,tt3672640,327476,2015-02-25,88,5.121,33,2.11,1432960,0,"[{'id': 35, 'name': 'Comedy'}]","[{'english_name': 'Finnish', 'iso_639_1': 'fi', 'name': 'suomi'}]",fi,"[{'id': 6339, 'logo_path': '/ufP8NkiJ9ScGLIKz7J25xKtmVvX.png', 'name': 'Solar Films', 'origin_country': 'FI'}]","[{'iso_3166_1': 'FI', 'name': 'Finland'}]",Taneli Mustonen
2276,Reunion 3: Singles Cruise,tt11905960,680673,2021-07-28,104,3.9,8,1.312,0,0,"[{'id': 35, 'name': 'Comedy'}]","[{'english_name': 'Finnish', 'iso_639_1': 'fi', 'name': 'suomi'}]",fi,"[{'id': 6339, 'logo_path': '/ufP8NkiJ9ScGLIKz7J25xKtmVvX.png', 'name': 'Solar Films', 'origin_country': 'FI'}]","[{'iso_3166_1': 'FI', 'name': 'Finland'}]",Renny Harlin
2277,Reunion 2: The Bachelor Party,tt5030004,423525,2016-11-02,83,4.5,13,1.39,0,0,"[{'id': 35, 'name': 'Comedy'}]","[{'english_name': 'Finnish', 'iso_639_1': 'fi', 'name': 'suomi'}]",fi,"[{'id': 6339, 'logo_path': '/ufP8NkiJ9ScGLIKz7J25xKtmVvX.png', 'name': 'Solar Films', 'origin_country': 'FI'}]","[{'iso_3166_1': 'FI', 'name': 'Finland'}]",Taneli Mustonen
