,title,imdb_id,id,release_date,runtime,vote_average,vote_count,popularity,budget,revenue,genres,spoken_languages,original_language,production_companies,production_countries,director
653,D2: The Mighty Ducks,tt0109520,11164,1994-03-25,106,6.21,513,12.03,0,45610410,"[{'id': 35, 'name': 'Comedy'}, {'id': 28, 'name': 'Action'}, {'id': 10751, 'name': 'Family'}, {'id': 18, 'name': 'Drama'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Icelandic', 'iso_639_1': 'is', 'name': 'Íslenska'}]",en,"[{'id': 34998, 'logo_path': None, 'name': 'Avnet/Kerner Productions', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",Sam Weisman
654,Babe,tt0112431,9598,1995-07-18,91,6.2,2544,24.167,30000000,254134910,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",en,"[{'id': 33, 'logo_path': '/8lvHyhjr8oUKOOy2dKXoALWKdp0.png', 'name': 'Universal Pictures', 'origin_country': 'US'}, {'id': 2537, 'logo_path': None, 'name': 'Kennedy Miller Productions', 'origin_country': 'AU'}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",Chris Noonan
655,Babe: Pig in the City,tt0120595,9447,1998-11-25,92,5.562,1076,18.493,90000000,69131860,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",en,"[{'id': 2537, 'logo_path': None, 'name': 'Kennedy Miller Productions', 'origin_country': 'AU'}, {'id': 33, 'logo_path': '/8lvHyhjr8oUKOOy2dKXoALWKdp0.png', 'name': 'Universal Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}]",George Miller
656,Rocky,tt0075148,1366,1976-11-21,119,7.784,6748,62.553,1000000,117250402,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",en,"[{'id': 8880, 'logo_path': '/fE7LBw7Jz8R29EABFGCvWNriZxN.png', 'name': 'Winkler Films', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",John G. Avildsen
657,Rocky Balboa,tt0479143,1246,2006-12-20,101,6.832,3018,39.226,24000000,155929020,"[{'id': 18, 'name': 'Drama'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Georgian', 'iso_639_1': 'ka', 'name': 'ქართული'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",en,"[{'id': 696, 'logo_path': None, 'name': 'Rogue Marble', 'origin_country': ''}, {'id': 5, 'logo_path': '/lieeAioEBVsgsoDT9HICrdt5iRa.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}, {'id': 497, 'logo_path': '/pMyhOBd3sCiLzBlmIopdJkcUFtn.png', 'name': 'Revolution Studios', 'origin_country': 'US'}, {'id': 21, 'logo_path': '/5Va1Ie5c4sjfEYqixQ3L8qg7fKu.png', 'name': 'Metro-Goldwyn-Mayer', 'origin_country': 'US'}, {'id': 8880, 'logo_path': '/fE7LBw7Jz8R29EABFGCvWNriZxN.png', 'name': 'Winkler Films', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",Sylvester Stallone
658,Rocky IV,tt0089927,1374,1985-11-21,91,7.1,3806,57.104,31000000,300473716,"[{'id': 18, 'name': 'Drama'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Georgian', 'iso_639_1': 'ka', 'name': 'ქართული'}, {'english_name': 'Russian', 'iso_639_1': 'ru', 'name': 'Pусский'}]",en,"[{'id': 8880, 'logo_path': '/fE7LBw7Jz8R29EABFGCvWNriZxN.png', 'name': 'Winkler Films', 'origin_country': 'US'}, {'id': 60, 'logo_path': '/1SEj4nyG3JPBSKBbFhtdcHRaIF9.png', 'name': 'United Artists', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",Sylvester Stallone
659,Rocky V,tt0100507,1375,1990-11-16,104,5.758,2757,41.815,42000000,119946358,"[{'id': 18, 'name': 'Drama'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Georgian', 'iso_639_1': 'ka', 'name': 'ქართული'}]",en,"[{'id': 60, 'logo_path': '/1SEj4nyG3JPBSKBbFhtdcHRaIF9.png', 'name': 'United Artists', 'origin_country': 'US'}, {'id': 8880, 'logo_path': '/fE7LBw7Jz8R29EABFGCvWNriZxN.png', 'name': 'Winkler Films', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",John G. Avildsen
660,Rocky III,tt0084602,1371,1982-05-28,99,6.9,3549,39.245,17000000,270000000,"[{'id': 18, 'name': 'Drama'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Georgian', 'iso_639_1': 'ka', 'name': 'ქართული'}]",en,"[{'id': 8880, 'logo_path': '/fE7LBw7Jz8R29EABFGCvWNriZxN.png', 'name': 'Winkler Films', 'origin_country': 'US'}, {'id': 60, 'logo_path': '/1SEj4nyG3JPBSKBbFhtdcHRaIF9.png', 'name': 'United Artists', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",Sylvester Stallone
661,Rocky II,tt0079817,1367,1979-06-15,119,7.247,3759,42.818,7000000,85182160,"[{'id': 18, 'name': 'Drama'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Georgian', 'iso_639_1': 'ka', 'name': 'ქართული'}]",en,"[{'id': 8880, 'logo_path': '/fE7LBw7Jz8R29EABFGCvWNriZxN.png', 'name': 'Winkler Films', 'origin_country': 'US'}, {'id': 60, 'logo_path': '/1SEj4nyG3JPBSKBbFhtdcHRaIF9.png', 'name': 'United Artists', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",Sylvester Stallone
662,Clerks,tt0109445,2292,1994-09-13,92,7.428,2159,14.218,27575,3151130,"[{'id': 35, 'name': 'Comedy'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",en,"[{'id': 16934, 'logo_path': '/we7afRGM67vr7oMSBYh4xZ9yNWC.png', 'name': 'View Askew Productions', 'origin_country': 'US'}, {'id': 14, 'logo_path': '/m6AHu84oZQxvq7n1rsvMNJIAsMu.png', 'name': 'Miramax', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",Kevin Smith
663,Clerks II,tt0424345,2295,2006-07-21,97,6.909,1132,11.858,5000000,26888376,"[{'id': 35, 'name': 'Comedy'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",en,"[{'id': 16934, 'logo_path': '/we7afRGM67vr7oMSBYh4xZ9yNWC.png', 'name': 'View Askew Productions', 'origin_country': 'US'}, {'id': 308, 'logo_path': '/e8F3mQM7DkJ5SfYYDp8FYzPBOGX.png', 'name': 'The Weinstein Company', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",Kevin Smith
664,Clerks III,tt11128440,635891,2022-09-04,100,6.124,129,18.76,7000000,0,"[{'id': 35, 'name': 'Comedy'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",en,"[{'id': 1632, 'logo_path': '/cisLn1YAUuptXVBa0xjq7ST9cH0.png', 'name': 'Lionsgate', 'origin_country': 'US'}, {'id': 16934, 'logo_path': '/we7afRGM67vr7oMSBYh4xZ9yNWC.png', 'name': 'View Askew Productions', 'origin_country': 'US'}, {'id': 121204, 'logo_path': '/vbtvY4IxgUZk713rkmoTO4MHIac.png', 'name': 'BondIt Media Capital', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",Kevin Smith
665,Mulan,tt0120762,10674,1998-06-18,88,7.919,8600,94.053,90000000,304320254,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Mandarin', 'iso_639_1': 'zh', 'name': '普通话'}]",en,"[{'id': 2, 'logo_path': '/wdrCwmRnLFJhEoH8GSfymY85KHT.png', 'name': 'Walt Disney Pictures', 'origin_country': 'US'}, {'id': 171656, 'logo_path': None, 'name': 'Walt Disney Feature Animation', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",Barry Cook
666,Mulan II,tt0279967,12242,2004-11-03,79,6.5,2098,41.691,0,0,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 28, 'name': 'Action'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",en,"[{'id': 2, 'logo_path': '/wdrCwmRnLFJhEoH8GSfymY85KHT.png', 'name': 'Walt Disney Pictures', 'origin_country': 'US'}, {'id': 5391, 'logo_path': '/o5AcK10ViutenSa4XTD18ClCEWe.png', 'name': 'DisneyToon Studios', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",Lynne Southerland
667,Death Wish,tt0071402,13939,1974-07-24,93,6.912,668,16.838,3000000,22000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}]","[{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Italian', 'iso_639_1': 'it', 'name': 'Italiano'}, {'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}]",en,"[{'id': 14115, 'logo_path': None, 'name': 'Landers-Roberts Productions', 'origin_country': ''}, {'id': 10308, 'logo_path': None, 'name': 'Dino De Laurentiis Company', 'origin_country': 'US'}, {'id': 18039, 'logo_path': None, 'name': 'Scimitar Films', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",Michael Winner
668,Death Wish II,tt0082250,14373,1982-02-20,92,6.251,365,12.964,2000000,45000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",en,"[{'id': 13549, 'logo_path': None, 'name': 'Golan-Globus Productions', 'origin_country': 'US'}, {'id': 664, 'logo_path': None, 'name': 'City Film', 'origin_country': 'US'}, {'id': 14115, 'logo_path': None, 'name': 'Landers-Roberts Productions', 'origin_country': ''}, {'id': 1444, 'logo_path': '/1848gsFuV3EGewKg8xWADAyJUVy.png', 'name': 'Cannon Group', 'origin_country': 'US'}, {'id': 1138, 'logo_path': None, 'name': 'Filmways Pictures', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",Michael Winner
669,Death Wish V: The Face of Death,tt0109578,34746,1994-01-14,95,5.537,216,12.578,5000000,1702394,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",en,"[{'id': 13282, 'logo_path': None, 'name': '21st Century Film Corporation', 'origin_country': ''}, {'id': 21335, 'logo_path': None, 'name': 'Death Wish 5 Productions', 'origin_country': ''}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",Allan A. Goldstein
670,Death Wish 3,tt0089003,24873,1985-11-01,92,6.2,329,14.485,9000000,16116878,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",en,"[{'id': 1444, 'logo_path': '/1848gsFuV3EGewKg8xWADAyJUVy.png', 'name': 'Cannon Group', 'origin_country': 'US'}, {'id': 13549, 'logo_path': None, 'name': 'Golan-Globus Productions', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",Michael Winner
671,Death Wish 4: The Crackdown,tt0092857,26263,1987-06-11,99,5.7,231,12.086,5000000,6880310,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",en,"[{'id': 1444, 'logo_path': '/1848gsFuV3EGewKg8xWADAyJUVy.png', 'name': 'Cannon Group', 'origin_country': 'US'}, {'id': 13549, 'logo_path': None, 'name': 'Golan-Globus Productions', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",J. Lee Thompson
672,The Odd Couple,tt0063374,11356,1968-05-16,106,7.56,477,9.395,1200000,44527234,"[{'id': 35, 'name': 'Comedy'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",en,"[{'id': 4, 'logo_path': '/gz66EfNoYPqHTYI4q9UEN4CbHRc.png', 'name': 'Paramount', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",Gene Saks
673,The Odd Couple II,tt0120773,27472,1998-04-09,97,6.417,108,7.66,0,18912328,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}]","[{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",en,"[{'id': 4, 'logo_path': '/gz66EfNoYPqHTYI4q9UEN4CbHRc.png', 'name': 'Paramount', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",Howard Deutch
674,The Toxic Avenger,tt0090190,15239,1984-05-01,82,6.3,429,8.607,475000,800000,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",en,"[{'id': 3052, 'logo_path': '/kqP7DC8cUCzDSI5SXiJKJKmQg1K.png', 'name': 'Troma Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",Michael Herz
675,Citizen Toxie: The Toxic Avenger IV,tt0212879,27601,2001-11-01,109,6.4,110,9.915,500000,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",en,"[{'id': 3052, 'logo_path': '/kqP7DC8cUCzDSI5SXiJKJKmQg1K.png', 'name': 'Troma Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",Lloyd Kaufman
676,The Toxic Avenger Part II,tt0098503,28165,1989-02-24,109,5.476,124,8.435,2300000,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}, {'english_name': 'Russian', 'iso_639_1': 'ru', 'name': 'Pусский'}]",en,"[{'id': 3052, 'logo_path': '/kqP7DC8cUCzDSI5SXiJKJKmQg1K.png', 'name': 'Troma Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",Michael Herz
677,The Toxic Avenger Part III: The Last Temptation of Toxie,tt0098502,28169,1989-11-24,102,5.064,94,6.696,0,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",en,"[{'id': 3052, 'logo_path': '/kqP7DC8cUCzDSI5SXiJKJKmQg1K.png', 'name': 'Troma Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",Michael Herz
678,The Exorcist,tt0070047,9552,1973-12-26,122,7.72,6885,65.401,15000000,441405644,"[{'id': 27, 'name': 'Horror'}]","[{'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}, {'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}, {'english_name': 'Latin', 'iso_639_1': 'la', 'name': 'Latin'}, {'english_name': 'Arabic', 'iso_639_1': 'ar', 'name': 'العربية'}, {'english_name': 'Greek', 'iso_639_1': 'el', 'name': 'ελληνικά'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",en,"[{'id': 48184, 'logo_path': None, 'name': 'Hoya Productions', 'origin_country': ''}, {'id': 174, 'logo_path': '/IuAlhI9eVC9Z8UQWOIDdWRKSEJ.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",William Friedkin
679,Exorcist II: The Heretic,tt0076009,11586,1977-06-17,118,4.523,575,23.867,14000000,30749142,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",en,"[{'id': 174, 'logo_path': '/IuAlhI9eVC9Z8UQWOIDdWRKSEJ.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",Rospo Pallenberg
680,The Exorcist,tt12921446,807172,2023-10-11,0,0.0,0,10.11,0,0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",en,"[{'id': 3172, 'logo_path': '/kDedjRZwO8uyFhuHamomOhN6fzG.png', 'name': 'Blumhouse Productions', 'origin_country': 'US'}, {'id': 10210, 'logo_path': None, 'name': 'Morgan Creek Productions', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",David Gordon Green
681,Daddy Day Care,tt0317303,10708,2003-05-09,92,5.901,1897,14.758,60000000,164433867,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",en,"[{'id': 497, 'logo_path': '/pMyhOBd3sCiLzBlmIopdJkcUFtn.png', 'name': 'Revolution Studios', 'origin_country': 'US'}, {'id': 1302, 'logo_path': '/zC3b70ixHh89qJIikLQPEvLqbPM.png', 'name': 'Davis Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",Steve Carr
682,Daddy Day Camp,tt0462244,14144,2007-08-08,89,4.828,404,12.413,6000000,18197398,"[{'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",en,"[{'id': 497, 'logo_path': '/pMyhOBd3sCiLzBlmIopdJkcUFtn.png', 'name': 'Revolution Studios', 'origin_country': 'US'}, {'id': 101442, 'logo_path': None, 'name': 'Blue Star Entertainment', 'origin_country': ''}, {'id': 46221, 'logo_path': None, 'name': 'Zookeeper Productions', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",Fred Savage
683,Grand-Daddy Day Care,tt8749922,577647,2019-01-05,91,6.5,31,4.394,0,0,"[{'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",en,"[{'id': 497, 'logo_path': '/pMyhOBd3sCiLzBlmIopdJkcUFtn.png', 'name': 'Revolution Studios', 'origin_country': 'US'}, {'id': 17009, 'logo_path': '/ssowAxOrrqsSR2CKeiytOXwLoCW.png', 'name': 'Universal 1440 Entertainment', 'origin_country': 'US'}]",[],Ron Oliver
684,Deuce Bigalow: Male Gigolo,tt0205000,10402,1999-12-10,88,5.915,1177,28.277,17000000,65535067,"[{'id': 35, 'name': 'Comedy'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",en,"[{'id': 6370, 'logo_path': None, 'name': 'Quinta Communications', 'origin_country': 'FR'}, {'id': 9195, 'logo_path': '/ou5BUbtulr6tIt699q6xJiEQTR9.png', 'name': 'Touchstone Pictures', 'origin_country': 'US'}, {'id': 878, 'logo_path': '/e2AZdsQdkhN0qJhoN4TMYiVPLyb.png', 'name': 'Happy Madison Productions', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",Mike Mitchell
685,Deuce Bigalow: European Gigolo,tt0367652,11453,2005-08-12,83,5.229,781,22.637,22000000,22400154,"[{'id': 35, 'name': 'Comedy'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",en,"[{'id': 879, 'logo_path': None, 'name': 'Out of the Blue... Entertainment', 'origin_country': ''}, {'id': 5, 'logo_path': '/lieeAioEBVsgsoDT9HICrdt5iRa.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}, {'id': 878, 'logo_path': '/e2AZdsQdkhN0qJhoN4TMYiVPLyb.png', 'name': 'Happy Madison Productions', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",Mike Bigelow
686,Diary of the Dead,tt0848557,13025,2007-05-26,95,5.576,668,9.776,2000000,5540941,"[{'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",en,"[{'id': 3240, 'logo_path': None, 'name': 'Artfire Films', 'origin_country': ''}, {'id': 55518, 'logo_path': None, 'name': 'Romero-Grunwald Productions', 'origin_country': ''}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",George A. Romero
687,Survival of the Dead,tt1134854,29426,2010-05-06,90,4.862,392,14.077,4000000,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",en,"[{'id': 23588, 'logo_path': None, 'name': 'Blank of the Dead Productions', 'origin_country': ''}, {'id': 2391, 'logo_path': '/jAfRVeZwQHhOeLrvloduoEaf6fc.png', 'name': 'Devonshire Productions', 'origin_country': 'CA'}, {'id': 6741, 'logo_path': None, 'name': 'New Romero', 'origin_country': ''}, {'id': 6742, 'logo_path': None, 'name': 'Sudden Storm Productions', 'origin_country': ''}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",George A. Romero
688,Westworld,tt0070909,2362,1973-08-15,89,6.748,1094,12.434,0,0,"[{'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 37, 'name': 'Western'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",en,"[{'id': 21, 'logo_path': '/5Va1Ie5c4sjfEYqixQ3L8qg7fKu.png', 'name': 'Metro-Goldwyn-Mayer', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",Michael Crichton
689,Futureworld,tt0074559,10640,1976-08-13,107,5.988,253,11.087,0,0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",en,"[{'id': 9266, 'logo_path': None, 'name': 'American International Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",Richard T. Heffron
690,Weekend at Bernie's,tt0098627,8491,1989-07-05,97,6.397,866,11.241,6500000,30218387,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",en,"[{'id': 1648, 'logo_path': None, 'name': 'Gladden Entertainment', 'origin_country': ''}, {'id': 25, 'logo_path': '/qZCc1lty5FzX30aOCVRBLzaVmcp.png', 'name': '20th Century Fox', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",Ted Kotcheff
691,Weekend at Bernie's II,tt0108539,8494,1993-07-09,97,5.086,245,7.55,7000000,12741891,"[{'id': 35, 'name': 'Comedy'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",en,"[{'id': 2509, 'logo_path': None, 'name': 'Artimm', 'origin_country': ''}, {'id': 559, 'logo_path': '/jqWioYeGSyTLuHth0141bTGvu6H.png', 'name': 'TriStar Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",Robert Klane
692,Look Who's Talking,tt0097778,9494,1989-10-12,93,6.281,2052,12.736,7500000,296999813,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",en,"[{'id': 8821, 'logo_path': None, 'name': 'Management Company Entertainment Group (MCEG)', 'origin_country': ''}, {'id': 116419, 'logo_path': None, 'name': 'Hollywood Licensing Group', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",Amy Heckerling
693,Look Who's Talking Now!,tt0107438,11982,1993-11-05,96,5.368,904,11.944,22000000,10340263,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",en,"[{'id': 559, 'logo_path': '/jqWioYeGSyTLuHth0141bTGvu6H.png', 'name': 'TriStar Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",Tom Ropelewski
694,Look Who's Talking Too,tt0100050,9356,1990-12-14,81,5.488,1230,11.311,0,47789074,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",en,"[{'id': 559, 'logo_path': '/jqWioYeGSyTLuHth0141bTGvu6H.png', 'name': 'TriStar Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",Amy Heckerling
695,Highlander,tt0091203,8009,1986-03-07,116,6.897,2218,33.522,16000000,12885193,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",en,"[{'id': 2737, 'logo_path': None, 'name': 'Davis-Panzer Productions', 'origin_country': ''}, {'id': 6179, 'logo_path': None, 'name': 'Thorn EMI Screen Entertainment', 'origin_country': ''}, {'id': 107461, 'logo_path': None, 'name': 'Highlander Productions Limited', 'origin_country': ''}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",Russell Mulcahy
