imdb_id,Movie Budget,Movie Box Office US/CA,Movie Box Office Worldwide,Movie Length,Movie Rating,Movie Director Names,Movie Director Links,Movie Cast Names,Movie Cast Links,Movie Awards
tt0135427,"RUR 11,000,000 (estimated)",,,1h 47m,5.4,Svetlana Druzhinina,['https://www.imdb.com/name/nm0238679/'],"Dmitriy Kharatyan, Mikhail Mamaev, Aleksandr Domogarov","['https://www.imdb.com/name/nm0451422/', 'https://www.imdb.com/name/nm0541018/', 'https://www.imdb.com/name/nm0231677/']","Best Costume Designer
Marina Zdornova"
tt0048639,,,,1h 33m,6.9,Ivan Lukinsky,['https://www.imdb.com/name/nm0525699/'],"Leonid Kharitonov, Sergei Blinnikov, Daya Smirnova","['https://www.imdb.com/name/nm0451450/', 'https://www.imdb.com/name/nm0088480/', 'https://www.imdb.com/name/nm0807068/']",
tt0051789,,,,1h 37m,6.8,Ivan Lukinsky,['https://www.imdb.com/name/nm0525699/'],"Leonid Kharitonov, Tatyana Pelttser, Sergei Blinnikov","['https://www.imdb.com/name/nm0451450/', 'https://www.imdb.com/name/nm0671356/', 'https://www.imdb.com/name/nm0088480/']",
tt1179067,"$4,500,000 (estimated)",,"$30,525,503",1h 50m,3.0,Kirill Kuzin,['https://www.imdb.com/name/nm2910439/'],"Garik Kharlamov, Mikhail Galustyan, Armen Dzhigarkhanyan","['https://www.imdb.com/name/nm2152569/', 'https://www.imdb.com/name/nm2804487/', 'https://www.imdb.com/name/nm0246150/']","Breakthrough of the Year
Garik Kharlamov, Best Film, Best Comedic Performance
Mikhail Galustyan, Best On-Screen Team, Best Soundtrack
DzhaniRadari

Pavel Volya


For the song ""Samaya luchshaya pesnya""., Best Action Sequence
Garik Kharlamov

Mikhail Galustyan"
tt1796603,"$6,500,000 (estimated)",,"$10,959,765",1h 45m,2.8,Kirill Kuzin,['https://www.imdb.com/name/nm2910439/'],"Garik Kharlamov, Pyotr Vins, Ekaterina Kuznetsova","['https://www.imdb.com/name/nm2152569/', 'https://www.imdb.com/name/nm4224288/', 'https://www.imdb.com/name/nm2591317/']",
tt1364289,,,"$15,672,437",1h 20m,2.8,Oleg Fomin,['https://www.imdb.com/name/nm0284454/'],"Garik Kharlamov, Oleg Vereshchagin, Dmitriy Khrustalyov","['https://www.imdb.com/name/nm2152569/', 'https://www.imdb.com/name/nm3297534/', 'https://www.imdb.com/name/nm3298132/']",Best Russian Comedy Movie
tt0073179,,,,3h 12m,8.1,Eldar Ryazanov,['https://www.imdb.com/name/nm0752922/'],"Andrey Myagkov, Barbara Brylska, Yuriy Yakovlev","['https://www.imdb.com/name/nm0616556/', 'https://www.imdb.com/name/nm0117390/', 'https://www.imdb.com/name/nm0945085/']","Best Film
Eldar Ryazanov"
tt0987918,"$3,000,000 (estimated)",,"$55,639,741",1h 55m,5.0,Timur Bekmambetov,['https://www.imdb.com/name/nm0067457/'],"Konstantin Khabenskiy, Elizaveta Boyarskaya, Sergey Bezrukov","['https://www.imdb.com/name/nm0450975/', 'https://www.imdb.com/name/nm1799184/', 'https://www.imdb.com/name/nm0080115/']","Best Film, Best Actor
Sergey Bezrukov, Best Comedic Performance
Konstantin Khabenskiy, Best Actor
Konstantin Khabenskiy, Best Actress
Elizaveta Boyarskaya, Best On-Screen Team, Best Kiss
Konstantin Khabenskiy

Elizaveta Boyarskaya, Best Soundtrack
Alla Pugacheva

Kristina Orbakaite


For the song ""Opyat metel""., Best Action Sequence
Sergey Bezrukov

Igor Savochkin, Breakthrough of the Year
Elizaveta Boyarskaya"
tt0415678,"$3,500,000 (estimated)",,"$8,120,875",2h 12m,5.9,Aleksey Sidorov,['https://www.imdb.com/name/nm1284414/'],"Denis Nikiforov, Elena Panova, Andrey Panin","['https://www.imdb.com/name/nm1649882/', 'https://www.imdb.com/name/nm1335238/', 'https://www.imdb.com/name/nm0659521/']","Best Soundtrack
Sergey Parkhomenko
(artist)


For the song ""King Ring""., Best Soundtrack
Triplex
(artists)

Apocalyptica
(artists)


For the song ""Boy s tenyu""., Best Film, Best Actor
Denis Nikiforov
(actor), Best Actress
Elena Panova
(actress), Best Movie Villain
Andrey Panin
(actor), Breakthrough of the Year
Denis Nikiforov
(actor), Best Kiss
Elena Panova
(actress)

Denis Nikiforov
(actor), Best Fight, Best Action Sequence"
tt2097245,"$5,000,000 (estimated)",,"$14,386,840",2h 5m,5.7,Aleksey Sidorov,['https://www.imdb.com/name/nm1284414/'],"Stephen Au, Olga Dibtseva, Michael Gor","['https://www.imdb.com/name/nm0041247/', 'https://www.imdb.com/name/nm4324815/', 'https://www.imdb.com/name/nm0330853/']",Best Russian Action of the Year
tt0459759,"$6,000,000 (estimated)",,"$12,859,418",2h 15m,5.8,Anton Megerdichev,['https://www.imdb.com/name/nm2415918/'],"Denis Nikiforov, Elena Panova, Andrey Panin","['https://www.imdb.com/name/nm1649882/', 'https://www.imdb.com/name/nm1335238/', 'https://www.imdb.com/name/nm0659521/']","Best Film Editing
Olga Proshkina

Anton Megerdichev"
tt0060747,,,,1h 18m,7.4,Edmond Keosayan,['https://www.imdb.com/name/nm0449084/'],"Vasiliy Vasilev, Viktor Kosykh, Valentina Kurdyukova","['https://www.imdb.com/name/nm0890577/', 'https://www.imdb.com/name/nm0467578/', 'https://www.imdb.com/name/nm0475652/']",
tt0067313,,,,2h 14m,6.6,Edmond Keosayan,['https://www.imdb.com/name/nm0449084/'],"Mikhail Metyolkin, Viktor Kosykh, Vasiliy Vasilev","['https://www.imdb.com/name/nm0582665/', 'https://www.imdb.com/name/nm0467578/', 'https://www.imdb.com/name/nm0890577/']",
tt0063369,,,,1h 22m,7.2,Edmond Keosayan,['https://www.imdb.com/name/nm0449084/'],"Mikhail Metyolkin, Vasiliy Vasilev, Viktor Kosykh","['https://www.imdb.com/name/nm0582665/', 'https://www.imdb.com/name/nm0890577/', 'https://www.imdb.com/name/nm0467578/']",
tt0211281,,,,20m,7.9,Inessa Kovalevskaya,['https://www.imdb.com/name/nm0468313/'],"Elmira Zherzdeva, Oleg Anofriev, Anatoliy Gorokhov","['https://www.imdb.com/name/nm0955645/', 'https://www.imdb.com/name/nm0030456/', 'https://www.imdb.com/name/nm0331226/']",
tt0219214,,,,56m,3.9,Aleksandr Gorlenko,['https://www.imdb.com/name/nm0331004/'],"Nadezhda Babkina, Anton Bizeyev, Mikhail Boyarskiy","['https://www.imdb.com/name/nm0045014/', 'https://www.imdb.com/name/nm0084691/', 'https://www.imdb.com/name/nm0101614/']",
tt0251333,,,,19m,7.9,Vasiliy Livanov,['https://www.imdb.com/name/nm0515106/'],"Muslim Magomayev, Elmira Zherzdeva, Gennadiy Gladkov","['https://www.imdb.com/name/nm0536439/', 'https://www.imdb.com/name/nm0955645/', 'https://www.imdb.com/name/nm0321597/']",
tt3746824,,,"$4,190,750",1h 25m,5.8,"Andrey Galat, Maksim Volkov","['https://www.imdb.com/name/nm6512883/', 'https://www.imdb.com/name/nm6305117/']","Alexander Petrov, Sergey Bezrukov, Elizaveta Boyarskaya","['https://www.imdb.com/name/nm5003252/', 'https://www.imdb.com/name/nm0080115/', 'https://www.imdb.com/name/nm1799184/']","Best Feature
Maksim Volkov"
