oIMDb,rIMDb,Original Budget,Original Box Office US/CA,Original Box Office Worldwide,Original Length,Original Rating,Original Director Names,Original Director Links,Original Cast Names,Original Cast Links,Original Awards,Remade Budget,Remade Box Office US/CA,Remade Box Office Worldwide,Remade Length,Remade Rating,Remade Director Names,Remade Director Links,Remade Cast Names,Remade Cast Links,Remade Awards
tt1194616,tt1592873,,,"$32,764,784",1h 43m,6.2,Lisa Azuelos,['https://www.imdb.com/name/nm0018132/'],"Sophie Marceau, Christa Théret, Jérémy Kapone","['https://www.imdb.com/name/nm0000521/', 'https://www.imdb.com/name/nm1817887/', 'https://www.imdb.com/name/nm3261379/']","Most Promising Actress (Meilleur espoir féminin)
Christa Théret","$11,000,000 (estimated)",,"$10,578,643",1h 37m,4.3,Lisa Azuelos,['https://www.imdb.com/name/nm0018132/'],"Miley Cyrus, Douglas Booth, Ashley Greene","['https://www.imdb.com/name/nm1415323/', 'https://www.imdb.com/name/nm3150488/', 'https://www.imdb.com/name/nm2230865/']","Choice Movie Actress: Romance
Miley Cyrus"
tt0018097,tt0026685,"$152,000 (estimated)",,,1h 9m,6.7,Tod Browning,['https://www.imdb.com/name/nm0115218/'],"Lon Chaney, Marceline Day, Henry B. Walthall","['https://www.imdb.com/name/nm0151606/', 'https://www.imdb.com/name/nm0206496/', 'https://www.imdb.com/name/nm0910400/']",,"$305,177 (estimated)",,,1h,6.2,Tod Browning,['https://www.imdb.com/name/nm0115218/'],"Lionel Barrymore, Elizabeth Allan, Bela Lugosi","['https://www.imdb.com/name/nm0000859/', 'https://www.imdb.com/name/nm0019922/', 'https://www.imdb.com/name/nm0000509/']","Best DVD Collection
            For 
        The Mask of Fu Manchu
            , 
        Mad Love
            , 
        The Devil-Doll
            , 
        Doctor X
            and 
        The Return of Doctor X

As part of the ""Hollywood Legends of Horror Collection""."
tt0071771,tt0291341,"$2,900,000 (estimated)","$43,008,075","$43,008,075",2h 1m,7.1,Robert Aldrich,['https://www.imdb.com/name/nm0000736/'],"Burt Reynolds, Eddie Albert, Ed Lauter","['https://www.imdb.com/name/nm0000608/', 'https://www.imdb.com/name/nm0000734/', 'https://www.imdb.com/name/nm0491590/']","Best Film Editing
Michael Luciano","£2,500,000 (estimated)","$92,770","$7,310,206",1h 39m,6.4,Barry Skolnick,['https://www.imdb.com/name/nm1032759/'],"Vinnie Jones, David Kelly, David Hemmings","['https://www.imdb.com/name/nm0005068/', 'https://www.imdb.com/name/nm0446303/', 'https://www.imdb.com/name/nm0376101/']",
tt0071771,tt0398165,"$2,900,000 (estimated)","$43,008,075","$43,008,075",2h 1m,7.1,Robert Aldrich,['https://www.imdb.com/name/nm0000736/'],"Burt Reynolds, Eddie Albert, Ed Lauter","['https://www.imdb.com/name/nm0000608/', 'https://www.imdb.com/name/nm0000734/', 'https://www.imdb.com/name/nm0491590/']","Best Film Editing
Michael Luciano","$82,000,000 (estimated)","$158,119,460","$191,466,556",1h 53m,6.4,Peter Segal,['https://www.imdb.com/name/nm0781842/'],"Adam Sandler, Burt Reynolds, Chris Rock","['https://www.imdb.com/name/nm0001191/', 'https://www.imdb.com/name/nm0000608/', 'https://www.imdb.com/name/nm0001674/']","Outstanding Supporting Actor in a Theatrical Film
Chris Rock"
tt0051878,tt0089500,"$1,500,000 (estimated)",,,1h 55m,7.3,Martin Ritt,['https://www.imdb.com/name/nm0728688/'],"Paul Newman, Joanne Woodward, Anthony Franciosa","['https://www.imdb.com/name/nm0000056/', 'https://www.imdb.com/name/nm0940946/', 'https://www.imdb.com/name/nm0290047/']","Paul Newman, Martin Ritt",,,,3h 20m,7.0,"Don Johnson, Jason Robards, Judith Ivey","['https://www.imdb.com/name/nm0000467/', 'https://www.imdb.com/name/nm0001673/', 'https://www.imdb.com/name/nm0412382/']","Don Johnson, Jason Robards, Judith Ivey","['https://www.imdb.com/name/nm0000467/', 'https://www.imdb.com/name/nm0001673/', 'https://www.imdb.com/name/nm0412382/']","Outstanding Art Direction for a Miniseries or a Special
Jan Scott
(production designer)

Keith Hein
(set decorator)


For part I., Outstanding Miniseries
Leonard Hill
(executive producer)

John Thomas Lenox
(executive producer)

Ronald Gilbert
(supervising producer)

Dori Weiss
(producer)"
tt0029162,tt0070337,"$4,000,000 (estimated)",,,2h 12m,7.6,Frank Capra,['https://www.imdb.com/name/nm0001008/'],"Ronald Colman, Jane Wyatt, Edward Everett Horton","['https://www.imdb.com/name/nm0172903/', 'https://www.imdb.com/name/nm0943553/', 'https://www.imdb.com/name/nm0002143/']","Best Art Direction
Stephen Goosson, Best Film Editing
Gene Havlick

Gene Milford, Best Picture
Columbia, Best Actor in a Supporting Role
H.B. Warner, Best Sound, Recording
John P. Livadary
(Columbia SSD), Best Assistant Director
Charles C. Coleman, Best Music, Score
Morris Stoloff
(head of department)


Score by Dimitri Tiomkin.","$12,000,000 (estimated)",,,2h 30m,5.2,Charles Jarrott,['https://www.imdb.com/name/nm0418986/'],"Peter Finch, Liv Ullmann, Sally Kellerman","['https://www.imdb.com/name/nm0002075/', 'https://www.imdb.com/name/nm0880521/', 'https://www.imdb.com/name/nm0001419/']",
tt0110390,tt0131369,"CA$3,100,000 (estimated)",,,1h 35m,6.1,Michel Poulette,['https://www.imdb.com/name/nm0693599/'],"Martin Drainville, Zhenhu Han, Chantal Fontaine","['https://www.imdb.com/name/nm0236838/', 'https://www.imdb.com/name/nm1701566/', 'https://www.imdb.com/name/nm0284785/']","Michel Poulette, Richard Sadler

Jacques Dorfmann, Best Motion Picture
Jacques Dorfmann

Richard Sadler, Best Performance by an Actor in a Leading Role
Martin Drainville, Best Achievement in Film Editing
Denis Papillon","$80,000,000 (estimated)","$22,431,897","$35,242,897",2h 2m,6.1,Ron Howard,['https://www.imdb.com/name/nm0000165/'],"Matthew McConaughey, Jenna Elfman, Geoffrey Blake","['https://www.imdb.com/name/nm0000190/', 'https://www.imdb.com/name/nm0001184/', 'https://www.imdb.com/name/nm0086553/']","Rob Reiner

            For 
        The Story of Us"
tt0031593,tt0050105,,,,1h 28m,7.3,Leo McCarey,['https://www.imdb.com/name/nm0564970/'],"Irene Dunne, Charles Boyer, Maria Ouspenskaya","['https://www.imdb.com/name/nm0002050/', 'https://www.imdb.com/name/nm0000964/', 'https://www.imdb.com/name/nm0653642/']","Best Picture, Best Actress in a Leading Role
Irene Dunne, Best Actress in a Supporting Role
Maria Ouspenskaya, Best Writing, Original Story
Mildred Cram

Leo McCarey, Best Art Direction
Van Nest Polglase

Alfred Herman, Best Music, Original Song
Buddy G. DeSylva


For the song ""Wishing""",,"$3,850,000","$3,851,689",1h 55m,7.4,Leo McCarey,['https://www.imdb.com/name/nm0564970/'],"Cary Grant, Deborah Kerr, Richard Denning","['https://www.imdb.com/name/nm0000026/', 'https://www.imdb.com/name/nm0000039/', 'https://www.imdb.com/name/nm0219396/']","Best Cinematography
Milton R. Krasner, Best Costume Design
Charles Le Maire, Best Music, Original Song
Harry Warren
(music)

Harold Adamson
(lyrics)

Leo McCarey
(lyrics)


For the song ""An Affair to Remember"", Best Music, Scoring
Hugo Friedhofer"
tt0031593,tt0110391,,,,1h 28m,7.3,Leo McCarey,['https://www.imdb.com/name/nm0564970/'],"Irene Dunne, Charles Boyer, Maria Ouspenskaya","['https://www.imdb.com/name/nm0002050/', 'https://www.imdb.com/name/nm0000964/', 'https://www.imdb.com/name/nm0653642/']","Best Picture, Best Actress in a Leading Role
Irene Dunne, Best Actress in a Supporting Role
Maria Ouspenskaya, Best Writing, Original Story
Mildred Cram

Leo McCarey, Best Art Direction
Van Nest Polglase

Alfred Herman, Best Music, Original Song
Buddy G. DeSylva


For the song ""Wishing""","$60,000,000 (estimated)","$18,272,894","$18,272,894",1h 48m,6.0,Glenn Gordon Caron,['https://www.imdb.com/name/nm0139111/'],"Warren Beatty, Annette Bening, Katharine Hepburn","['https://www.imdb.com/name/nm0000886/', 'https://www.imdb.com/name/nm0000906/', 'https://www.imdb.com/name/nm0000031/']","Outstanding Achievement in Cinematography in Theatrical Releases
Conrad L. Hall"
tt0029165,tt0040870,,,,1h 17m,6.9,Tay Garnett,['https://www.imdb.com/name/nm0307819/'],"Tyrone Power, Loretta Young, Don Ameche","['https://www.imdb.com/name/nm0000061/', 'https://www.imdb.com/name/nm0949835/', 'https://www.imdb.com/name/nm0000747/']",,,"$1,650,000",,1h 22m,6.5,Robert B. Sinclair,['https://www.imdb.com/name/nm0801717/'],"Tyrone Power, Gene Tierney, Reginald Gardiner","['https://www.imdb.com/name/nm0000061/', 'https://www.imdb.com/name/nm0000074/', 'https://www.imdb.com/name/nm0306786/']","Best Actor - International
Tyrone Power

            For 
        Prince of Foxes"
tt0239608,tt0231816,,,,2h 36m,7.8,Yunus Malik,['https://www.imdb.com/name/nm0539601/'],"Sultan Rahi, Mustafa Qureshi, Aasia","['https://www.imdb.com/name/nm0706691/', 'https://www.imdb.com/name/nm0704549/', 'https://www.imdb.com/name/nm0007545/']",,,,,2h 13m,6.1,Rajkumar Kohli,['https://www.imdb.com/name/nm0463319/'],"Dharmendra, Shatrughan Sinha, Raj Babbar","['https://www.imdb.com/name/nm0004429/', 'https://www.imdb.com/name/nm0802374/', 'https://www.imdb.com/name/nm0044796/']",
tt0239608,tt4139928,,,,2h 36m,7.8,Yunus Malik,['https://www.imdb.com/name/nm0539601/'],"Sultan Rahi, Mustafa Qureshi, Aasia","['https://www.imdb.com/name/nm0706691/', 'https://www.imdb.com/name/nm0704549/', 'https://www.imdb.com/name/nm0007545/']",,"PKR 700,000,000 (estimated)","$1,948,124","$5,689,294",2h 33m,8.8,Bilal Lashari,['https://www.imdb.com/name/nm2850440/'],"Fawad Khan, Mahira Khan, Humaima Malik","['https://www.imdb.com/name/nm2717565/', 'https://www.imdb.com/name/nm4493060/', 'https://www.imdb.com/name/nm3892419/']",
tt0022100,tt0043766,,"$35,566","$35,566",1h 57m,8.3,Fritz Lang,['https://www.imdb.com/name/nm0000485/'],"Peter Lorre, Ellen Widmann, Inge Landgut","['https://www.imdb.com/name/nm0000048/', 'https://www.imdb.com/name/nm0927145/', 'https://www.imdb.com/name/nm0484737/']",Top Foreign Films,,,,1h 28m,6.8,Joseph Losey,['https://www.imdb.com/name/nm0521334/'],"David Wayne, Howard Da Silva, Martin Gabel","['https://www.imdb.com/name/nm0915536/', 'https://www.imdb.com/name/nm0196247/', 'https://www.imdb.com/name/nm0300010/']",
tt0022183,tt0051964,,,,1h 28m,7.6,"Leontine Sagan, Carl Froelich","['https://www.imdb.com/name/nm0755985/', 'https://www.imdb.com/name/nm0296193/']","Dorothea Wieck, Hertha Thiele, Emilia Unda","['https://www.imdb.com/name/nm0927236/', 'https://www.imdb.com/name/nm0007229/', 'https://www.imdb.com/name/nm0880946/']","Best Rediscoveries


Mädchen in Uniform [1931, Leontine Sagan] at the Brattle Theatre and Coolidge Corner Theatre (...                More


Mädchen in Uniform [1931, Leontine Sagan] at the Brattle Theatre and Coolidge Corner Theatre (virtual cinemas)",,,,1h 35m,7.0,Géza von Radványi,['https://www.imdb.com/name/nm0902839/'],"Lilli Palmer, Romy Schneider, Therese Giehse","['https://www.imdb.com/name/nm0658339/', 'https://www.imdb.com/name/nm0002769/', 'https://www.imdb.com/name/nm0317340/']","Best Young Actress
Sabine Sinjen"
tt0054047,tt0080421,"$2,000,000 (estimated)",,,2h 8m,7.7,John Sturges,['https://www.imdb.com/name/nm0836328/'],"Yul Brynner, Steve McQueen, Charles Bronson","['https://www.imdb.com/name/nm0000989/', 'https://www.imdb.com/name/nm0000537/', 'https://www.imdb.com/name/nm0000314/']","Best Music, Scoring of a Dramatic or Comedy Picture
Elmer Bernstein","$2,000,000 (estimated)",,,1h 44m,5.5,"Jimmy T. Murakami, Roger Corman","['https://www.imdb.com/name/nm0613471/', 'https://www.imdb.com/name/nm0000339/']","George Peppard, Robert Vaughn, Richard Thomas","['https://www.imdb.com/name/nm0000577/', 'https://www.imdb.com/name/nm0001816/', 'https://www.imdb.com/name/nm0001796/']","Outstanding Achievement
Sybil Danning, Best Science Fiction Film, Best Costumes
Durinda Wood, Best Make-Up
Sue Dolph

Steve Neill

Rick Stratton, Best Special Effects
Chuck Comisky"
tt0054047,tt2404435,"$2,000,000 (estimated)",,,2h 8m,7.7,John Sturges,['https://www.imdb.com/name/nm0836328/'],"Yul Brynner, Steve McQueen, Charles Bronson","['https://www.imdb.com/name/nm0000989/', 'https://www.imdb.com/name/nm0000537/', 'https://www.imdb.com/name/nm0000314/']","Best Music, Scoring of a Dramatic or Comedy Picture
Elmer Bernstein","$90,000,000 (estimated)","$93,432,655","$162,360,636",2h 12m,6.8,Antoine Fuqua,['https://www.imdb.com/name/nm0298807/'],"Denzel Washington, Chris Pratt, Ethan Hawke","['https://www.imdb.com/name/nm0000243/', 'https://www.imdb.com/name/nm0695435/', 'https://www.imdb.com/name/nm0000160/']",Best Action/Adventure Film
tt0035019,tt0048822,"$928,000 (estimated)",,,1h 40m,7.4,Billy Wilder,['https://www.imdb.com/name/nm0000697/'],"Ginger Rogers, Ray Milland, Rita Johnson","['https://www.imdb.com/name/nm0001677/', 'https://www.imdb.com/name/nm0001537/', 'https://www.imdb.com/name/nm0426089/']","Top Ten Films, Best Acting
Diana Lynn, Best Acting
Ginger Rogers

            For 
        Roxie Hart",,"$7,480,000",,1h 42m,6.5,Norman Taurog,['https://www.imdb.com/name/nm0851537/'],"Dean Martin, Jerry Lewis, Diana Lynn","['https://www.imdb.com/name/nm0001509/', 'https://www.imdb.com/name/nm0001471/', 'https://www.imdb.com/name/nm0528658/']",
tt0025452,tt0049470,"£40,000 (estimated)",,,1h 15m,6.7,Alfred Hitchcock,['https://www.imdb.com/name/nm0000033/'],"Leslie Banks, Edna Best, Peter Lorre","['https://www.imdb.com/name/nm0052203/', 'https://www.imdb.com/name/nm0078923/', 'https://www.imdb.com/name/nm0000048/']",Top Foreign Films,"$2,500,000 (estimated)",,"$8,190",2h,7.4,Alfred Hitchcock,['https://www.imdb.com/name/nm0000033/'],"James Stewart, Doris Day, Brenda de Banzie","['https://www.imdb.com/name/nm0000071/', 'https://www.imdb.com/name/nm0000013/', 'https://www.imdb.com/name/nm0207219/']","Best Music, Original Song
Jay Livingston

Ray Evans


For the song ""Whatever Will Be, Will Be (Que Sera, Sera)""."
tt0076155,tt0085891,,,,2h,7.4,François Truffaut,['https://www.imdb.com/name/nm0000076/'],"Charles Denner, Brigitte Fossey, Nelly Borgeaud","['https://www.imdb.com/name/nm0219342/', 'https://www.imdb.com/name/nm0287637/', 'https://www.imdb.com/name/nm0096501/']","Best Film
François Truffaut","$19,000,000 (estimated)","$10,964,740","$10,964,740",1h 50m,5.2,Blake Edwards,['https://www.imdb.com/name/nm0001175/'],"Burt Reynolds, Julie Andrews, Kim Basinger","['https://www.imdb.com/name/nm0000608/', 'https://www.imdb.com/name/nm0000267/', 'https://www.imdb.com/name/nm0000107/']",
tt0056218,tt0368008,"$2,200,000 (estimated)","$2,757,256","$2,757,256",2h 6m,7.9,John Frankenheimer,['https://www.imdb.com/name/nm0001239/'],"Frank Sinatra, Laurence Harvey, Janet Leigh","['https://www.imdb.com/name/nm0000069/', 'https://www.imdb.com/name/nm0002131/', 'https://www.imdb.com/name/nm0001463/']","Best Actress in a Supporting Role
Angela Lansbury, Best Film Editing
Ferris Webster","$80,000,000 (estimated)","$65,955,630","$96,105,910",2h 9m,6.6,Jonathan Demme,['https://www.imdb.com/name/nm0001129/'],"Denzel Washington, Liev Schreiber, Meryl Streep","['https://www.imdb.com/name/nm0000243/', 'https://www.imdb.com/name/nm0000630/', 'https://www.imdb.com/name/nm0000658/']","Best Performance by an Actress in a Supporting Role
Meryl Streep"
tt0214915,tt1339248,,,,2h 49m,8.8,Fazil,['https://www.imdb.com/name/nm0269778/'],"Shobana, Mohanlal, Suresh Gopi","['https://www.imdb.com/name/nm0811794/', 'https://www.imdb.com/name/nm0482320/', 'https://www.imdb.com/name/nm0329730/']","Best Actress
Shobana, Best Film with Popular Appeal and Aesthetic Value
Fazil

Swargachitra Appachan, Best Makeup Artist
P. Mani",,,,1h 40m,8.3,P. Vasu,['https://www.imdb.com/name/nm0890864/'],"Vishnuvardhan, Soundarya, Ramesh Aravind","['https://www.imdb.com/name/nm0889542/', 'https://www.imdb.com/name/nm0815897/', 'https://www.imdb.com/name/nm0033243/']","Best Director
P. Vasu

Dwarakish Chitra, Best Actress
Soundarya

Dwarakish Chitra, Gurukiran

Vishnuvardhan

Dwarakish Chitra"
tt0214915,tt0449869,,,,2h 49m,8.8,Fazil,['https://www.imdb.com/name/nm0269778/'],"Shobana, Mohanlal, Suresh Gopi","['https://www.imdb.com/name/nm0811794/', 'https://www.imdb.com/name/nm0482320/', 'https://www.imdb.com/name/nm0329730/']","Best Actress
Shobana, Best Film with Popular Appeal and Aesthetic Value
Fazil

Swargachitra Appachan, Best Makeup Artist
P. Mani",,,"₹750,000,000",2h 46m,7.2,P. Vasu,['https://www.imdb.com/name/nm0890864/'],"Rajinikanth, Prabhu, Jyotika","['https://www.imdb.com/name/nm0707425/', 'https://www.imdb.com/name/nm0694893/', 'https://www.imdb.com/name/nm0433392/']","Best Comic Actor
Vadivelu, Best Playback Singer - Female
Binni Krishnakumar


For the song ""Raa Raa"", Best Actress
Jyotika, Best Actor
Rajinikanth"
tt0214915,tt1339353,,,,2h 49m,8.8,Fazil,['https://www.imdb.com/name/nm0269778/'],"Shobana, Mohanlal, Suresh Gopi","['https://www.imdb.com/name/nm0811794/', 'https://www.imdb.com/name/nm0482320/', 'https://www.imdb.com/name/nm0329730/']","Best Actress
Shobana, Best Film with Popular Appeal and Aesthetic Value
Fazil

Swargachitra Appachan, Best Makeup Artist
P. Mani",,,,2005,6.8,Swapan Saha,['https://www.imdb.com/name/nm3235404/'],"Rachana Banerjee, Abhishek Chatterjee, Biplab Chatterjee","['https://www.imdb.com/name/nm1383984/', 'https://www.imdb.com/name/nm0154108/', 'https://www.imdb.com/name/nm0154118/']",
tt0214915,tt0995031,,,,2h 49m,8.8,Fazil,['https://www.imdb.com/name/nm0269778/'],"Shobana, Mohanlal, Suresh Gopi","['https://www.imdb.com/name/nm0811794/', 'https://www.imdb.com/name/nm0482320/', 'https://www.imdb.com/name/nm0329730/']","Best Actress
Shobana, Best Film with Popular Appeal and Aesthetic Value
Fazil

Swargachitra Appachan, Best Makeup Artist
P. Mani",,"$1,097,797","$19,073,095",2h 39m,7.4,Priyadarshan,['https://www.imdb.com/name/nm0698184/'],"Akshay Kumar, Vidya Balan, Shiney Ahuja","['https://www.imdb.com/name/nm0474774/', 'https://www.imdb.com/name/nm1799038/', 'https://www.imdb.com/name/nm1832004/']","Best Actor in a Comic Role
Akshay Kumar"
tt0282599,tt0410297,"$2,500,000 (estimated)",,"$225,223",1h 45m,7.5,Hyun-seung Lee,['https://www.imdb.com/name/nm0497416/'],"Lee Jung-jae, Jun Ji-hyun, Mu-saeng Kim","['https://www.imdb.com/name/nm0497631/', 'https://www.imdb.com/name/nm0432428/', 'https://www.imdb.com/name/nm1077031/']",,"$40,000,000 (estimated)","$52,330,111","$114,830,111",1h 39m,6.8,Alejandro Agresti,['https://www.imdb.com/name/nm0002159/'],"Keanu Reeves, Sandra Bullock, Christopher Plummer","['https://www.imdb.com/name/nm0000206/', 'https://www.imdb.com/name/nm0000113/', 'https://www.imdb.com/name/nm0001626/']","Movie You Wanted to Love, But Just Couldn't"
tt0017120,tt0040568,,"$620,079",,1h 42m,6.7,Rex Ingram,['https://www.imdb.com/name/nm0002271/'],"Apollon Uni, Álex Nova, Kada-Abd-el-Kader","['https://www.imdb.com/name/nm0032105/', 'https://www.imdb.com/name/nm0636781/', 'https://www.imdb.com/name/nm0434255/']",,,,,1h 30m,6.3,Rafael Gil,['https://www.imdb.com/name/nm0317856/'],"María Félix, Fernando Rey, Guillermo Marín","['https://www.imdb.com/name/nm0299661/', 'https://www.imdb.com/name/nm0721073/', 'https://www.imdb.com/name/nm0555941/']","Best Director (Mejor Director)
Rafael Gil"
tt0025478,tt0026319,,,,1h 30m,7.6,Willi Forst,['https://www.imdb.com/name/nm0286924/'],"Paula Wessely, Anton Walbrook, Olga Tschechowa","['https://www.imdb.com/name/nm0921839/', 'https://www.imdb.com/name/nm0906932/', 'https://www.imdb.com/name/nm0874781/']","Best Foreign Film
Willi Forst",,,,1h 32m,7.6,Robert Z. Leonard,['https://www.imdb.com/name/nm0502752/'],"William Powell, Luise Rainer, Frank Morgan","['https://www.imdb.com/name/nm0001635/', 'https://www.imdb.com/name/nm0707023/', 'https://www.imdb.com/name/nm0604656/']",
tt1029234,tt1663655,"€3,390,000 (estimated)",,"$1,149,138",1h 39m,7.0,Pascal Laugier,['https://www.imdb.com/name/nm1052791/'],"Morjana Alaoui, Mylène Jampanoï, Catherine Bégin","['https://www.imdb.com/name/nm1662011/', 'https://www.imdb.com/name/nm1227864/', 'https://www.imdb.com/name/nm0126743/']","Best Actress
Morjana Alaoui, Best Screenplay
Pascal Laugier, Best Limited-Release/Direct-to-Video Film, Best Supporting Actress
Mylène Jampanoï, Best Makeup/Creature FX
Benoît Lestang","$1,000,000 (estimated)",,"$397,072",1h 26m,4.0,"Kevin Goetz, Michael Goetz","['https://www.imdb.com/name/nm0324521/', 'https://www.imdb.com/name/nm1603397/']","Troian Bellisario, Bailey Noble, Kate Burton","['https://www.imdb.com/name/nm0069079/', 'https://www.imdb.com/name/nm3950210/', 'https://www.imdb.com/name/nm0123632/']","Best Performance - DVD Film
Lexi DiBenedetto"
tt0024314,tt0030026,"$229,000 (estimated)",,,1h 30m,6.9,"Archie Mayo, Michael Curtiz","['https://www.imdb.com/name/nm0562845/', 'https://www.imdb.com/name/nm0002031/']","James Cagney, Madge Evans, Arthur Byron","['https://www.imdb.com/name/nm0000010/', 'https://www.imdb.com/name/nm0263004/', 'https://www.imdb.com/name/nm0126365/']",,,,,1h 25m,6.5,"Lewis Seiler, William Clemens","['https://www.imdb.com/name/nm0782597/', 'https://www.imdb.com/name/nm0166058/']","Humphrey Bogart, The Dead End Kids, Gale Page","['https://www.imdb.com/name/nm0000007/', 'https://www.imdb.com/name/nm1513848/', 'https://www.imdb.com/name/nm0656175/']",
tt0031647,tt0037903,,,"$12,513",1h 34m,7.9,Mitchell Leisen,['https://www.imdb.com/name/nm0500552/'],"Claudette Colbert, Don Ameche, John Barrymore","['https://www.imdb.com/name/nm0001055/', 'https://www.imdb.com/name/nm0000747/', 'https://www.imdb.com/name/nm0000858/']",,,,,1h 36m,5.8,Mitchell Leisen,['https://www.imdb.com/name/nm0500552/'],"Dorothy Lamour, Arturo de Córdova, Patric Knowles","['https://www.imdb.com/name/nm0483787/', 'https://www.imdb.com/name/nm0194742/', 'https://www.imdb.com/name/nm0461549/']",
tt0068931,tt0472399,"$10,000,000 (estimated)",,,1h 40m,6.8,Michael Winner,['https://www.imdb.com/name/nm0935382/'],"Charles Bronson, Jan-Michael Vincent, Keenan Wynn","['https://www.imdb.com/name/nm0000314/', 'https://www.imdb.com/name/nm0001821/', 'https://www.imdb.com/name/nm0943978/']",,"$40,000,000 (estimated)","$29,121,498","$76,130,093",1h 33m,6.5,Simon West,['https://www.imdb.com/name/nm0922346/'],"Jason Statham, Ben Foster, Donald Sutherland","['https://www.imdb.com/name/nm0005458/', 'https://www.imdb.com/name/nm0004936/', 'https://www.imdb.com/name/nm0000661/']","Best High Work
Ben Cooke"
tt0015131,tt0023175,,,,1h 20m,,James Cruze,['https://www.imdb.com/name/nm0190516/'],"Glenn Hunter, Charles Sellon, Sadie Gordon","['https://www.imdb.com/name/nm0402824/', 'https://www.imdb.com/name/nm0783041/', 'https://www.imdb.com/name/nm0330585/']",,,,,1h 26m,6.5,William Beaudine,['https://www.imdb.com/name/nm0064415/'],"Joan Blondell, Stuart Erwin, Zasu Pitts","['https://www.imdb.com/name/nm0000951/', 'https://www.imdb.com/name/nm0260020/', 'https://www.imdb.com/name/nm0686032/']",
tt0339385,tt1667862,,,"$20,344",1h 34m,5.7,Carsten Myllerup,['https://www.imdb.com/name/nm0617023/'],"Kristian Leth, Laura Christensen, Tuva Novotny","['https://www.imdb.com/name/nm0504655/', 'https://www.imdb.com/name/nm0159836/', 'https://www.imdb.com/name/nm0637259/']","Best Song (Årets originale sang)
Carpark North


For the song ""Transparent and glasslike""., Best Children/Family Film (Årets børne- og familiefilm)
Rasmus Thorsen
(producer)

Tomas Hostrup-Larsen
(producer)

Carsten Myllerup
(director), Best Supporting Actress (Årets kvindelige birolle)
Tuva Novotny, Best Sound (Årets lyd/sounddesign)
Christian Holm, Best Original Score (Årets musik (score))
Søren Hyldgaard",£500 (estimated),,,3m,,Ed Edwards,['https://www.imdb.com/name/nm2021384/'],Sam Edwards,['https://www.imdb.com/name/nm3919193/'],
tt0054084,tt0081158,,"$7,400,000",,1h 43m,6.7,David Miller,['https://www.imdb.com/name/nm0588183/'],"Doris Day, Rex Harrison, John Gavin","['https://www.imdb.com/name/nm0000013/', 'https://www.imdb.com/name/nm0001322/', 'https://www.imdb.com/name/nm0001260/']","Best Costume Design, Color
Irene",,,,1h 40m,5.5,Ivan Nagy,['https://www.imdb.com/name/nm0619475/'],"Mary Crosby, Gary Frank, Celeste Holm","['https://www.imdb.com/name/nm0002026/', 'https://www.imdb.com/name/nm0290933/', 'https://www.imdb.com/name/nm0002141/']",
tt0041650,tt0120751,"$1,800,000 (estimated)",,,1h 34m,7.0,Ernest B. Schoedsack,['https://www.imdb.com/name/nm0774325/'],"Terry Moore, Ben Johnson, Robert Armstrong","['https://www.imdb.com/name/nm0601930/', 'https://www.imdb.com/name/nm0424565/', 'https://www.imdb.com/name/nm0035877/']","Best Effects, Special Effects","$90,000,000 (estimated)","$50,632,037","$50,632,037",1h 54m,5.7,Ron Underwood,['https://www.imdb.com/name/nm0881038/'],"Bill Paxton, Charlize Theron, Rade Serbedzija","['https://www.imdb.com/name/nm0000200/', 'https://www.imdb.com/name/nm0000234/', 'https://www.imdb.com/name/nm0784884/']","Best Effects, Visual Effects
Rick Baker

Hoyt Yeatman

Allen Hall

Jim Mitchell"
tt2659414,tt10431500,,,"$82,101,723",2h 7m,8.1,Hwan-kyung Lee,['https://www.imdb.com/name/nm1085908/'],"Seung-ryong Ryu, Kal So-won, Dal-su Oh","['https://www.imdb.com/name/nm2440627/', 'https://www.imdb.com/name/nm5493512/', 'https://www.imdb.com/name/nm1367681/']","Most Popular Actress
Park Shin-Hye, Daesang Grand Award
Seung-ryong Ryu, Best Film, Best Actor
Seung-ryong Ryu, Best Supporting Actor
Dal-su Oh, Best New Actress
Kal So-won, Best Supporting Actress
Park Shin-Hye, Best Screenplay
Hwang-seong Kim

Hwan-kyung Lee

Young-seok Kim",,,"$17,163,660",2h 12m,8.2,Mehmet Ada Öztekin,['https://www.imdb.com/name/nm3133017/'],"Aras Bulut Iynemli, Nisa Sofiya Aksongur, Deniz Baysal","['https://www.imdb.com/name/nm4199420/', 'https://www.imdb.com/name/nm9651809/', 'https://www.imdb.com/name/nm4335569/']","Best Movie, Best Actress (Movie)
Deniz Baysal, Best Actor (Movie)
Aras Bulut Iynemli"
