oIMDb,rIMDb,Original Budget,Original Box Office US/CA,Original Box Office Worldwide,Original Length,Original Rating,Original Director Names,Original Director Links,Original Cast Names,Original Cast Links,Original Awards,Remade Budget,Remade Box Office US/CA,Remade Box Office Worldwide,Remade Length,Remade Rating,Remade Director Names,Remade Director Links,Remade Cast Names,Remade Cast Links,Remade Awards
tt1196141,tt13834480,"$15,000,000 (estimated)","$64,003,625","$76,196,538",1h 34m,6.2,Thor Freudenthal,['https://www.imdb.com/name/nm0294457/'],"Zachary Gordon, Robert Capron, Rachael Harris","['https://www.imdb.com/name/nm2325393/', 'https://www.imdb.com/name/nm2953573/', 'https://www.imdb.com/name/nm0006713/']","Film Music
Theodore Shapiro",,,,58m,5.1,"Gino Nichele, Swinton O. Scott III","['https://www.imdb.com/name/nm0629306/', 'https://www.imdb.com/name/nm0778772/']","Cyrus Arnold, Braxton Baker, Erica Cerra","['https://www.imdb.com/name/nm5928378/', 'https://www.imdb.com/name/nm7919760/', 'https://www.imdb.com/name/nm1569714/']","Best Performance in a Voice Acting Role: Youth Actress
Jessica Mikayla"
tt1650043,tt15847828,"$21,000,000 (estimated)","$52,698,535","$72,526,996",1h 40m,6.5,David Bowers,['https://www.imdb.com/name/nm0101047/'],"Zachary Gordon, Devon Bostick, Robert Capron","['https://www.imdb.com/name/nm2325393/', 'https://www.imdb.com/name/nm1256602/', 'https://www.imdb.com/name/nm2953573/']","Best Music Supervision for Film Budgeted Over 20 Million Dollars
Julia Michels

            For 
        Alvin and the Chipmunks
            , 
        The Big Year
            and 
        What's Your Number?",,,,1h 14m,5.1,"Luke Cormican, Gino Nichele","['https://www.imdb.com/name/nm1406291/', 'https://www.imdb.com/name/nm0629306/']","Brady Noon, Ethan William Childress, Hunter Dillon","['https://www.imdb.com/name/nm4054776/', 'https://www.imdb.com/name/nm9894839/', 'https://www.imdb.com/name/nm6073396/']",
tt0077451,tt0281391,"₹50,000,000 (estimated)",,,2h 55m,7.7,Chandra Barot,['https://www.imdb.com/name/nm0056423/'],"Amitabh Bachchan, Zeenat Aman, Pran Sikand","['https://www.imdb.com/name/nm0000821/', 'https://www.imdb.com/name/nm0023868/', 'https://www.imdb.com/name/nm0695199/']","Best Actor
Amitabh Bachchan, Best Playback Singer - Male
Kishore Kumar


For the song ""O khaike paan banaraswala""., Best Playback Singer - Female
Asha Bhosle


For the song ""Ye mera dil pyar ka deewana""., Best Lyricist
Anjaan, Best Music Direction
Kalyanji Veerji Shah

Anandji Veerji Shah",,,,2h 39m,6.6,K.S.R. Das,['https://www.imdb.com/name/nm0201897/'],"N.T. Rama Rao, Jayasudha, Kongara Jaggaiah","['https://www.imdb.com/name/nm0004417/', 'https://www.imdb.com/name/nm0419707/', 'https://www.imdb.com/name/nm0415582/']",
tt0077451,tt0364236,"₹50,000,000 (estimated)",,,2h 55m,7.7,Chandra Barot,['https://www.imdb.com/name/nm0056423/'],"Amitabh Bachchan, Zeenat Aman, Pran Sikand","['https://www.imdb.com/name/nm0000821/', 'https://www.imdb.com/name/nm0023868/', 'https://www.imdb.com/name/nm0695199/']","Best Actor
Amitabh Bachchan, Best Playback Singer - Male
Kishore Kumar


For the song ""O khaike paan banaraswala""., Best Playback Singer - Female
Asha Bhosle


For the song ""Ye mera dil pyar ka deewana""., Best Lyricist
Anjaan, Best Music Direction
Kalyanji Veerji Shah

Anandji Veerji Shah",,,,2h 55m,7.5,R. Krishnamurthy,['https://www.imdb.com/name/nm0471471/'],"Rajinikanth, Sripriya, K. Balaji","['https://www.imdb.com/name/nm0707425/', 'https://www.imdb.com/name/nm0820266/', 'https://www.imdb.com/name/nm1163202/']",
tt0077451,tt0292239,"₹50,000,000 (estimated)",,,2h 55m,7.7,Chandra Barot,['https://www.imdb.com/name/nm0056423/'],"Amitabh Bachchan, Zeenat Aman, Pran Sikand","['https://www.imdb.com/name/nm0000821/', 'https://www.imdb.com/name/nm0023868/', 'https://www.imdb.com/name/nm0695199/']","Best Actor
Amitabh Bachchan, Best Playback Singer - Male
Kishore Kumar


For the song ""O khaike paan banaraswala""., Best Playback Singer - Female
Asha Bhosle


For the song ""Ye mera dil pyar ka deewana""., Best Lyricist
Anjaan, Best Music Direction
Kalyanji Veerji Shah

Anandji Veerji Shah",,,,1986,6.4,Sasikumar,['https://www.imdb.com/name/nm0765881/'],"Mohanlal, Jose, Madhavi","['https://www.imdb.com/name/nm0482320/', 'https://www.imdb.com/name/nm1243594/', 'https://www.imdb.com/name/nm0534863/']",
tt0077451,tt0461936,"₹50,000,000 (estimated)",,,2h 55m,7.7,Chandra Barot,['https://www.imdb.com/name/nm0056423/'],"Amitabh Bachchan, Zeenat Aman, Pran Sikand","['https://www.imdb.com/name/nm0000821/', 'https://www.imdb.com/name/nm0023868/', 'https://www.imdb.com/name/nm0695199/']","Best Actor
Amitabh Bachchan, Best Playback Singer - Male
Kishore Kumar


For the song ""O khaike paan banaraswala""., Best Playback Singer - Female
Asha Bhosle


For the song ""Ye mera dil pyar ka deewana""., Best Lyricist
Anjaan, Best Music Direction
Kalyanji Veerji Shah

Anandji Veerji Shah",,"$2,223,961","$19,640,129",2h 58m,7.1,Farhan Akhtar,['https://www.imdb.com/name/nm1027719/'],"Shah Rukh Khan, Priyanka Chopra Jonas, Arjun Rampal","['https://www.imdb.com/name/nm0451321/', 'https://www.imdb.com/name/nm1231899/', 'https://www.imdb.com/name/nm0992000/']",Best Film
tt0077451,tt0920457,"₹50,000,000 (estimated)",,,2h 55m,7.7,Chandra Barot,['https://www.imdb.com/name/nm0056423/'],"Amitabh Bachchan, Zeenat Aman, Pran Sikand","['https://www.imdb.com/name/nm0000821/', 'https://www.imdb.com/name/nm0023868/', 'https://www.imdb.com/name/nm0695199/']","Best Actor
Amitabh Bachchan, Best Playback Singer - Male
Kishore Kumar


For the song ""O khaike paan banaraswala""., Best Playback Singer - Female
Asha Bhosle


For the song ""Ye mera dil pyar ka deewana""., Best Lyricist
Anjaan, Best Music Direction
Kalyanji Veerji Shah

Anandji Veerji Shah","₹120,000,000 (estimated)",,"$964,432",2h 10m,7.3,Vishnuvardhan,['https://www.imdb.com/name/nm3315387/'],"Ajith Kumar, Nayanthara, Rahman","['https://www.imdb.com/name/nm0015001/', 'https://www.imdb.com/name/nm1521381/', 'https://www.imdb.com/name/nm0706721/']","Best Actor
Ajith Kumar, Best Film
L. Suresh

Sri Keerthi Creations, Best Actress
Nayanthara"
tt0077452,tt0084210,,,,1h 50m,6.9,Bruno Barreto,['https://www.imdb.com/name/nm0000853/'],"Sonia Braga, José Wilker, Mauro Mendonça","['https://www.imdb.com/name/nm0000968/', 'https://www.imdb.com/name/nm0929093/', 'https://www.imdb.com/name/nm0579202/']","Most Outstanding Newcomer to Leading Film Roles
Sonia Braga",,"$15,782,759","$15,782,759",1h 41m,5.9,Robert Mulligan,['https://www.imdb.com/name/nm0612322/'],"Sally Field, James Caan, Jeff Bridges","['https://www.imdb.com/name/nm0000398/', 'https://www.imdb.com/name/nm0001001/', 'https://www.imdb.com/name/nm0000313/']","Best Actress in a Motion Picture - Comedy or Musical
Sally Field"
tt11286314,tt4289298,"$75,000,000 (estimated)",,"$791,863",2h 18m,7.2,Adam McKay,['https://www.imdb.com/name/nm0570912/'],"Leonardo DiCaprio, Jennifer Lawrence, Meryl Streep","['https://www.imdb.com/name/nm0000138/', 'https://www.imdb.com/name/nm2225369/', 'https://www.imdb.com/name/nm0000658/']","Best Motion Picture of the Year
Adam McKay
(producer)

Kevin J. Messick
(producer), Best Achievement in Film Editing
Hank Corwin, Best Achievement in Music Written for Motion Pictures (Original Score)
Nicholas Britell, Best Original Screenplay
Adam McKay
(screenplay & story by)

David Sirota
(story by)",,,,1h 39m,4.5,Hideo Nakata,['https://www.imdb.com/name/nm0620378/'],"Rika Adachi, Toshihito Kokubo, Keita Machida","['https://www.imdb.com/name/nm3077206/', 'https://www.imdb.com/name/nm5249789/', 'https://www.imdb.com/name/nm4760668/']",
tt1147511,tt5544700,,,"$521,938",1h 42m,6.8,Tsutomu Shibayama,['https://www.imdb.com/name/nm1167622/'],"Nobuyo Ôyama, Noriko Ohara, Michiko Nomura","['https://www.imdb.com/name/nm0645219/', 'https://www.imdb.com/name/nm0644947/', 'https://www.imdb.com/name/nm0634595/']",,,,"$50,939,840",1h 44m,6.7,"Omar Cancedda, Yumi Kakazu, Subaru Kimura","['https://www.imdb.com/name/nm13572028/', 'https://www.imdb.com/name/nm0435358/', 'https://www.imdb.com/name/nm1878161/']","Omar Cancedda, Yumi Kakazu, Subaru Kimura","['https://www.imdb.com/name/nm13572028/', 'https://www.imdb.com/name/nm0435358/', 'https://www.imdb.com/name/nm1878161/']",
tt1147528,tt1851909,,,"$13,202,181",1h 37m,7.6,Tsutomu Shibayama,['https://www.imdb.com/name/nm1167622/'],"Nobuyo Ôyama, Noriko Ohara, Michiko Nomura","['https://www.imdb.com/name/nm0645219/', 'https://www.imdb.com/name/nm0644947/', 'https://www.imdb.com/name/nm0634595/']",,,,"$30,236,973",1h 48m,7.7,Yukiyo Teramoto,['https://www.imdb.com/name/nm3071876/'],"Wasabi Mizuta, Megumi Ohara, Yumi Kakazu","['https://www.imdb.com/name/nm1778686/', 'https://www.imdb.com/name/nm1874163/', 'https://www.imdb.com/name/nm0435358/']",
tt1147517,tt0802983,,,"$11,718,211",1h 32m,7.2,Hiroshi Fukutomi,['https://www.imdb.com/name/nm0386410/'],"Nobuyo Ôyama, Noriko Ohara, Michiko Nomura","['https://www.imdb.com/name/nm0645219/', 'https://www.imdb.com/name/nm0644947/', 'https://www.imdb.com/name/nm0634595/']",,,,"$34,740,192",1h 47m,7.0,"Ayumu Watanabe, Kôzô Kusuba","['https://www.imdb.com/name/nm2268014/', 'https://www.imdb.com/name/nm0476417/']","Gekidan Hitori, Yumi Kakazu, Ryunosuke Kamiki","['https://www.imdb.com/name/nm1839784/', 'https://www.imdb.com/name/nm0435358/', 'https://www.imdb.com/name/nm1126340/']",
tt1147518,tt1260351,,,"$11,849,365",1h 37m,7.0,Tsutomu Shibayama,['https://www.imdb.com/name/nm1167622/'],"Nobuyo Ôyama, Noriko Ohara, Michiko Nomura","['https://www.imdb.com/name/nm0645219/', 'https://www.imdb.com/name/nm0644947/', 'https://www.imdb.com/name/nm0634595/']",,,,"$32,787,846",1h 52m,7.1,Yukiyo Teramoto,['https://www.imdb.com/name/nm3071876/'],"Wasabi Mizuta, Megumi Ohara, Yumi Kakazu","['https://www.imdb.com/name/nm1778686/', 'https://www.imdb.com/name/nm1874163/', 'https://www.imdb.com/name/nm0435358/']",
tt0313990,tt0313990,,,"$8,625,224",1h 38m,7.1,Tsutomu Shibayama,['https://www.imdb.com/name/nm1167622/'],"Nobuyo Ôyama, Noriko Ohara, Kazuya Tatekabe","['https://www.imdb.com/name/nm0645219/', 'https://www.imdb.com/name/nm0644947/', 'https://www.imdb.com/name/nm0851218/']",,,,"$8,625,224",1h 38m,7.1,Tsutomu Shibayama,['https://www.imdb.com/name/nm1167622/'],"Nobuyo Ôyama, Noriko Ohara, Kazuya Tatekabe","['https://www.imdb.com/name/nm0645219/', 'https://www.imdb.com/name/nm0644947/', 'https://www.imdb.com/name/nm0851218/']",
tt1147515,tt1264885,,,"$13,556,055",1h 30m,6.7,Hideo Nishimaki,['https://www.imdb.com/name/nm2416695/'],"Nobuyo Ôyama, Noriko Ohara, Michiko Nomura","['https://www.imdb.com/name/nm0645219/', 'https://www.imdb.com/name/nm0644947/', 'https://www.imdb.com/name/nm0634595/']",,,,"$61,482,349",1h 43m,6.6,"Shigeo Koshi, Kôzô Kusuba","['https://www.imdb.com/name/nm0467041/', 'https://www.imdb.com/name/nm0476417/']","Wasabi Mizuta, Megumi Ohara, Yumi Kakazu","['https://www.imdb.com/name/nm1778686/', 'https://www.imdb.com/name/nm1874163/', 'https://www.imdb.com/name/nm0435358/']",Best Animation Film
tt0036775,tt0070000,"$927,262 (estimated)",,"$14,651",1h 47m,8.3,Billy Wilder,['https://www.imdb.com/name/nm0000697/'],"Fred MacMurray, Barbara Stanwyck, Edward G. Robinson","['https://www.imdb.com/name/nm0534045/', 'https://www.imdb.com/name/nm0001766/', 'https://www.imdb.com/name/nm0000064/']","Best Picture, Best Actress in a Leading Role
Barbara Stanwyck, Best Director
Billy Wilder, Best Writing, Screenplay
Raymond Chandler

Billy Wilder, Best Cinematography, Black-and-White
John F. Seitz, Best Sound, Recording
Loren L. Ryder
(Paramount SSD), Best Music, Scoring of a Dramatic or Comedy Picture
Miklós Rózsa",,,,1h 15m,4.5,Jack Smight,['https://www.imdb.com/name/nm0806915/'],"Richard Crenna, Lee J. Cobb, Robert Webber","['https://www.imdb.com/name/nm0001077/', 'https://www.imdb.com/name/nm0002011/', 'https://www.imdb.com/name/nm0916434/']",
