oIMDb,rIMDb
tt0250979,tt0232291
tt0040679,tt0063591
tt0070511,tt9332984
tt0076852,tt0088414
tt0055277,tt0120783
tt0093668,tt0446013
tt0029453,tt0029855
tt0084555,tt0110538
tt0076538,tt2788732
tt0098084,tt0837563
tt24907042,tt0012364
tt0016220,tt0206442
tt0016220,tt0036261
tt0016220,tt0056347
tt0016220,tt0098090
tt0016220,tt0119889
tt0032904,tt0049314
tt0032910,tt1488589
tt0078087,tt0114137
tt0078087,tt0464154
tt0078087,tt1714203
tt0063442,tt0133152
tt0062133,tt0079722
tt0102685,tt2058673
tt0084516,tt1029360
tt0190641,tt8856470
tt0816258,tt1451409
tt0816258,tt1084972
tt0816258,tt1651934
tt0069113,tt0419358
tt0069113,tt0409182
tt0167950,tt0034509
tt0034063,tt0048197
tt0063456,tt0117379
tt0029442,tt0045053
tt0048513,tt0110443
tt0072037,tt0105323
tt0081383,tt0926129
tt0054215,tt0155975
tt0286751,tt0454919
tt0117437,tt26424401
tt0049656,tt0117438
tt0042876,tt0058437
tt0047396,tt0166322
tt1038988,tt1082868
tt0087985,tt1234719
tt0023382,tt0046085
tt0026922,tt0035167
tt0178868,tt0298130
tt0093870,tt1234721
tt0073629,tt1267299
tt0073631,tt0246894
tt0046250,tt0093877
tt0055382,tt0311730
tt0023410,tt0040799
tt0026955,tt0042447
tt0258100,tt0411815
tt0049697,tt0111033
tt0047437,tt0114319
tt0036323,tt0044828
tt0036323,tt0114324
tt0070633,tt0203088
tt1360795,tt5936462
tt0023427,tt0086250
tt0054279,tt0462519
tt0267913,tt3152592
tt0039808,tt0359950
tt1305806,tt1741273
tt0038922,tt0051657
tt0038922,tt0088087
tt0016332,tt0120596
tt0047478,tt0054047
tt0047478,tt2404435
tt0036342,tt0052245
tt0036342,tt0102896
tt24531430,tt0111146
tt0117615,tt0358135
tt0093952,tt0105379
tt0023458,tt0035125
tt0023458,tt0043912
tt0248428,tt14984074
tt0248428,tt0831816
tt0073707,tt0473310
tt0033045,tt0041507
tt0375063,tt1236373
tt0423195,tt0897347
tt0069922,tt0758737
tt0282599,tt0410297
tt0052225,tt0242898
tt0026389,tt0033095
tt0189219,tt0332831
tt0004635,tt0009650
tt0004635,tt0022428
tt0031971,tt0061024
tt0031971,tt0092003
tt0029606,tt0047522
tt0029606,tt0075265
tt0029606,tt1517451
tt0024610,tt0038116
tt0024610,tt0056526
tt0094035,tt0814335
tt0120686,tt1428459
tt0025929,tt0053390
tt0044079,tt0064760
tt0044079,tt0117244
tt0067800,tt0999913
tt0051028,tt0086809
tt0076786,tt1034415
tt0034251,tt0044859
tt0016409,tt0049815
tt0063661,tt0230838
tt0073817,tt0291502
tt0072251,tt0140594
tt0072251,tt1111422
tt0068655,tt0089543
tt0023551,tt0053335
tt0152930,tt0316732
tt0049833,tt0049833
tt0072271,tt0324216
tt0059793,tt10515520
tt0015400,tt0033152
tt0015400,tt0053625
tt0015400,tt0054013
tt0044121,tt0084787
tt0044121,tt0905372
tt0064165,tt0110146
tt0023583,tt0036189
tt0028356,tt0054743
tt0475756,tt0493389
tt0035432,tt0050964
tt0035432,tt0103080
tt0063688,tt0155267
tt0028356,tt0054743
tt0059800,tt0086006
tt0054387,tt0268695
tt0035446,tt0086450
tt0078405,tt0367153
tt0100802,tt1386703
tt0032049,tt22994962
tt0022495,tt0070823
tt0065126,tt1403865
tt0103103,tt0111503
tt0087520,tt0118001
tt0058694,tt0264323
tt0250797,tt0408837
tt0250797,tt0103080
tt0064323,tt0250797
tt0040919,tt0088326
tt0016473,tt0021505
tt0086525,tt1266036
tt0096163,tt0108473
tt0067927,tt0120430
tt0024736,tt0026361
tt0024736,tt0084865
tt0054443,tt0114852
tt0858492,tt0093428
tt0858492,tt2917382
tt0858492,tt1821607
tt0858492,tt5986568
tt0858492,tt2077833
tt0020556,tt0039082
tt0108500,tt0189192
tt0046268,tt0076740
tt0070895,tt0351977
tt4756248,tt6358914
tt0048801,tt0098625
tt0080130,tt0455857
tt0207201,tt0207201
tt0207201,tt7634968
tt0054469,tt0088395
tt0038250,tt0086582
tt0070917,tt0450345
tt0032128,tt0041341
tt0067992,tt0367594
tt0042046,tt0060185
tt0093191,tt0120632
tt0051201,tt0084911
tt0032138,tt2027255
tt1452798,tt0780653
tt0032143,tt0049578
tt0032143,tt0430770
tt0070904,tt0139809
tt0030989,tt0087866
tt0076935,tt0954990
tt0040978,tt0061832
tt0055630,tt0058461
tt0055630,tt0116830/
tt0063829,tt0443295
tt0051221,tt0067844
