imdb_id,Movie Budget,Movie Box Office US/CA,Movie Box Office Worldwide,Movie Length,Movie Rating,Movie Director Names,Movie Director Links,Movie Cast Names,Movie Cast Links,Movie Awards
tt1480853,,,,20m,7.1,Hugh Sullivan,['https://www.imdb.com/name/nm2028209/'],"Georgia Adamson, Helmut Bakaitis, Kelly Butler","['https://www.imdb.com/name/nm2109801/', 'https://www.imdb.com/name/nm0048127/', 'https://www.imdb.com/name/nm0125007/']",
tt0270349,,,,1h 24m,6.7,Juan Carlos Buitron,['https://www.imdb.com/name/nm0119695/'],"Felipe Camacho, Heather Witt, Juan Carlos Buitron","['https://www.imdb.com/name/nm0131083/', 'https://www.imdb.com/name/nm1373285/', 'https://www.imdb.com/name/nm0119695/']",
tt3118598,,,,8m,7.6,Thom Newell,['https://www.imdb.com/name/nm3364306/'],"Courtney Bandeko, David P. Barker, Trent Bruce","['https://www.imdb.com/name/nm4444836/', 'https://www.imdb.com/name/nm4343000/', 'https://www.imdb.com/name/nm5874703/']",
tt1097000,"$60,000 (estimated)",,,1h 54m,3.3,Nicholas Gyeney,['https://www.imdb.com/name/nm2422911/'],"Scott Gabelein, Michael Ayden, Rory Colin Fretland","['https://www.imdb.com/name/nm2424999/', 'https://www.imdb.com/name/nm2424429/', 'https://www.imdb.com/name/nm2638100/']","Best Actress
Tellier Killaby, Best Drama
Nicholas Gyeney"
tt20878596,,,,54m,7.4,Stavros Halkias,['https://www.imdb.com/name/nm6254064/'],Stavros Halkias,['https://www.imdb.com/name/nm6254064/'],
tt0241838,,,,1921,5.7,Maurice Le Forestier,['https://www.imdb.com/name/nm0494281/'],"Paule Claude, M. Delhez, Edmond Duquesne","['https://www.imdb.com/name/nm0165216/', 'https://www.imdb.com/name/nm0217117/', 'https://www.imdb.com/name/nm0243614/']",
tt0352337,,,,1964,4.7,Jun Li,['https://www.imdb.com/name/nm0508439/'],"Qi An, Baocheng Gao, Jiaoji Liu","['https://www.imdb.com/name/nm1318255/', 'https://www.imdb.com/name/nm1251416/', 'https://www.imdb.com/name/nm1319392/']",
tt3714430,,,,1975,,Chana Krapayun,['https://www.imdb.com/name/nm0469850/'],"Manop Aswathep, Suriya Chinaphan, Naiyana Chivanand","['https://www.imdb.com/name/nm0040195/', 'https://www.imdb.com/name/nm2954586/', 'https://www.imdb.com/name/nm0158461/']",
tt15176374,,,,2022,,Kabir Lal,['https://www.imdb.com/name/nm0482316/'],"Parvati Nair, Ganesh Venkatraman, Mahendran","['https://www.imdb.com/name/nm5320218/', 'https://www.imdb.com/name/nm3443674/', 'https://www.imdb.com/name/nm1195431/']",
tt1975207,,,,24m,4.8,Piotr Zlotorowicz,['https://www.imdb.com/name/nm4286026/'],"Maria Gladkowska, Piotr Glowacki, Mariusz Jakus","['https://www.imdb.com/name/nm0321601/', 'https://www.imdb.com/name/nm1644158/', 'https://www.imdb.com/name/nm0416062/']","Student Etudes Competition
Nicolas Villegas, Student Etudes Competition
Nicolas Villegas"
